GENE	ENSG	STRAND	CHROM	START	STOP
SLC25A26	ENSG00000261657	1	HG991_PATCH	66119285	66465398
AL157931.1	ENSG00000223116	-1	13	23551994	23552136
HMGA1P6	ENSG00000233440	1	13	23708313	23708703
RNY3P4	ENSG00000207157	-1	13	23726725	23726825
LINC00362	ENSG00000229483	-1	13	23743974	23744736
RNU6-58P	ENSG00000252952	-1	13	23791571	23791673
TATDN2P3	ENSG00000235205	1	13	23817659	23821323
LINC00363	ENSG00000232849	1	13	93708910	93710179
SDAD1P4	ENSG00000236803	1	13	23841645	23843289
RPLP1P13	ENSG00000232163	1	13	23947562	23948200
SNORD22	ENSG00000252365	-1	13	94021100	94021213
SACS-AS1	ENSG00000229558	1	13	23993110	24002818
HNRNPA1P29	ENSG00000235784	-1	13	94047230	94048108
GPC6-AS2	ENSG00000224394	-1	13	94470677	94488397
RNA5SP35	ENSG00000212559	-1	13	94677724	94677852
LINC00327	ENSG00000232977	1	13	24040710	24061603
GPC6-AS1	ENSG00000236520	-1	13	94806447	94840245
LINC00352	ENSG00000227893	1	13	24072935	24077013
AL139318.1	ENSG00000212057	-1	13	95117554	95117644
RNA5SP36	ENSG00000222129	-1	13	95303651	95303783
MTCO3P2	ENSG00000232102	-1	13	24340073	24340243
RN7SL585P	ENSG00000242037	-1	13	95351479	95351756
LINC00391	ENSG00000238230	-1	13	95351948	95355116
SOX21-AS1	ENSG00000227640	1	13	95364970	95368500
C1QTNF9B-AS1	ENSG00000205861	1	13	24463028	24471402
BRD7P5	ENSG00000235768	-1	13	95409705	95411526
RPL21P112	ENSG00000237924	-1	13	95412807	95413269
LINC00557	ENSG00000260962	1	13	95612295	95613573
RNU6-62P	ENSG00000252335	1	13	95671489	95671590
snoU13	ENSG00000238463	1	13	95862598	95862702
RNY3P8	ENSG00000223298	-1	13	95963084	95963209
ANKRD20A19P	ENSG00000196593	-1	13	24513696	24520921
RNY4P27	ENSG00000200211	-1	13	95988360	95988455
MEMO1P5	ENSG00000271492	1	13	96046303	96046708
CLDN10-AS1	ENSG00000223392	-1	13	96131698	96186164
RP11-309I15.1	ENSG00000228741	1	13	24553949	24609166
DNAJC3-AS1	ENSG00000247400	-1	13	96300987	96329179
IPO7P2	ENSG00000225674	-1	13	24696204	24697953
MTND5P2	ENSG00000229622	1	13	96344792	96346226
MIR2276	ENSG00000252695	1	13	24736555	24736643
SPATA13-AS1	ENSG00000227213	-1	13	24826887	24828577
MTND6P18	ENSG00000227714	-1	13	96346237	96346749
C1QTNF9-AS1	ENSG00000240868	-1	13	24889863	24895736
MTCYBP3	ENSG00000232373	1	13	96346823	96347959
NUS1P3	ENSG00000234627	1	13	24902349	24903210
snR65	ENSG00000251901	-1	13	96366931	96367032
LINC00566	ENSG00000261498	1	13	24905588	24911259
HMGN1P24	ENSG00000226977	-1	13	96461564	96461861
CYCSP33	ENSG00000233545	1	13	24974841	24975167
RN7SL164P	ENSG00000242614	1	13	96821799	96822099
AMMECR1LP1	ENSG00000233273	1	13	97225913	97226753
TPTE2P6	ENSG00000205822	1	13	24982295	25171814
HSP90AB6P	ENSG00000235137	-1	13	97536096	97542067
LINC00359	ENSG00000243300	-1	13	97593535	97636426
AL359538.2	ENSG00000266216	-1	13	25129366	25129451
PSPC1P2	ENSG00000244615	1	13	25140981	25144866
TULP3P1	ENSG00000234267	-1	13	97599891	97601181
RP11-556N21.1	ENSG00000243008	1	13	25141011	25171814
RP11-65L19.4	ENSG00000272329	1	13	97600272	97601838
AL359538.1	ENSG00000211508	1	13	25183217	25183313
RN7SKP7	ENSG00000222472	-1	13	97601503	97601787
RNY1P7	ENSG00000207474	-1	13	25277694	25277803
SNORD112	ENSG00000252154	-1	13	97618195	97618268
RPL26P34	ENSG00000225404	-1	13	25278476	25278926
snoU13	ENSG00000238522	1	13	97709633	97709734
LINC00456	ENSG00000233124	-1	13	97824723	97831876
IRX1P1	ENSG00000231417	1	13	25316815	25320322
RNA5SP37	ENSG00000202290	-1	13	98015226	98015355
PSMA6P4	ENSG00000271625	1	13	98127996	98128713
ANKRD20A10P	ENSG00000226695	-1	13	25324795	25326309
RP11-120E13.1	ENSG00000226134	-1	13	98327265	98330217
snoU13	ENSG00000238407	1	13	98538063	98538166
RPL7AP61	ENSG00000233291	1	13	98553907	98554542
RP11-383H17.4	ENSG00000270725	1	13	98591610	98605793
TPTE2P1	ENSG00000253771	-1	13	25498815	25542625
FTLP8	ENSG00000232217	-1	13	98639204	98639470
RN7SKP8	ENSG00000222969	-1	13	98856089	98856446
MIR3170	ENSG00000263399	1	13	98860778	98860854
RP11-573N10.1	ENSG00000269189	1	13	98885904	98886954
RP11-261P24.2	ENSG00000269599	-1	13	98981909	98985490
SLC25A15P3	ENSG00000251299	1	13	25517713	25518636
FARP1-AS1	ENSG00000231194	-1	13	99087659	99088094
RP11-295B17.6	ENSG00000271437	1	13	99205497	99206034
RPL34P27	ENSG00000232858	-1	13	25562715	25563063
STK24-AS1	ENSG00000224418	1	13	99229498	99231084
AL359757.1	ENSG00000256305	1	13	25715794	25716046
NUS1P4	ENSG00000217686	-1	13	99262546	99263130
AMER2-AS1	ENSG00000234056	-1	13	25746966	25754217
